Movie Tracker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,First month,,Getting in the groove,,,First rewatches,,,BR2049 and Endgame,,,The Tarantino Experience,,,Lotta free time...,,,"Back home, held back on movies",,,"Preparing for VT, Bilal's first R",,,Focusing on school,,,Joker with the lads,,,"Back into it, Thxgiving break",,,"Movies w/the lads, 1st semester ends",,
January,Date,Rating,February,Date,Rating,March,Date,Rating,April,Date,Rating,May,Date,Rating,June,Date,Rating,July,Date,Rating,August,Date,Rating,September,Date,Rating,October,Date,Rating,November,Date,Rating,December,Date,Rating
Shaun of the Dead,13,3.5,Bumblebee,17,3.5,The Dark Knight,17,5,Blade Runner 2049,16,5,"Hail, Caesar!",14,3.5,The Silence of the Lambs,7,4.5,Collateral,4,4,Snatch,7,3.5,,,,The Laundromat,21,2,Moonlight,25,4,Ad Astra,19,4
Hot Fuzz,14,3.5,The Edge of Seventeen,17,5,The Dark Knight Rises,21,5,Captain America: The Winter Soldier,17,4,Inglorious Basterds,15,5,Horrible Bosses 2,7,3.5,Spider-Man: Far From Home,6,4,Captain Marvel,10,3.5,,,,Dolomite is My Name,31,4,One Flew Over the Cuckoo's Nest,25,4,Star Wars: Revenge of the Sith,19,3
"O Brother, Where Art Thou?",15,3.5,The World's End,20,3.5,Eternal Sunshine of the Spotless Mind,23,3,Jackie,18,2.5,Pulp Fiction,22,5,BlacKkKlansman,8,5,The Lion King (2019),19,1.5,Snowpiercer,10,4.5,,,,,,,Incredibles 2,26,4,Manchester by the Sea,19,4
The Green Mile,17,4,,,,Avengers: Infinity War,25,5,The Godfather,18,4.5,"Synecdoche, New York",22,3,Bad Times at the El Royale,9,3.5,The Third Man,25,4,Logan Lucky,11,4,,,,,,,You Were Never Really Here,26,3.5,Ford v. Ferrari,23,4.5
Enemy,23,4.5,,,,Reservoir Dogs,25,4,No Country for Old Men,19,5,Shark Tale,28,2.5,State of Play,10,3,,,,Inglorious Basterds,15,5,,,,,,,The Irishman,27,4,Inside Llewyn Davis,24,4
Children of Men,29,4,,,,Transformers: Revenge of the Fallen,26,2.5,The Prestige,22,4.5,Booksmart,29,3.5,A Star is Born,10,4.5,,,,Once Upon A Time...in Hollywood,18,4,,,,,,,The Game,28,4.5,Uncut Gems,25,4
Mandy,30,1.5,,,,Casino Royale,27,4,Avengers: Age of Ultron,23,3,Now You See Me,29,2.5,The Thing,11,4,,,,,,,,,,,,,Popstar: Never Stop Stopping,29,3.5,Hell or High Water,25,4.5
,,,,,,Whiplash,30,4.5,La La Land,23,5,Zombieland,30,4,Paddington 2,11,4,,,,,,,,,,,,,Fight Club,29,4,Star Wars: The Rise of Skywalker,27,3
,,,,,,Rain Man,30,4,Captain America: Civil War,24,4,Edge of Tomorrow,31,4,The Girl with the Dragon Tattoo,11,4.5,,,,,,,,,,,,,Star Wars: The Last Jedi,30,3,The Master,30,4
,,,,,,,,,Thor: Ragnarok,25,4,The Perfection,31,3.5,The Terminator,12,3.5,,,,,,,,,,,,,,,,The Meyerowitz Stories (New and Selected),30,4.5
,,,,,,,,,Avengers: Infinity War,26,5,,,,Terminator 2: Judgement Day,13,4.5,,,,,,,,,,,,,,,,Ocean's Eleven,31,5
,,,,,,,,,Avengers: Endgame,26,5,,,,The Wolf of Wall Street,14,4.5,,,,,,,,,,,,,,,,Marriage Story,31,5
Average films/month in Germany | Total,13.58,258,,,,,,,Vice,27,3.5,,,,Nightcrawler,14,5,,,,,,,,,,,,,,,,Arrival,31,5
Average films/month in Loudoun | Total,9.50,399,,,,,,,,,,,,,Batman Begins,16,4,,,,,,,,,,,,,,,,,,
Average films/month in Blacksburg | Total,5.00,175,,,,,,,,,,,,,The Revenant,17,4.5,,,,,,,,,,,,,,,,,,
Overall Statistics,,, 2019 Statistics,,,,,,,,,,,,The Shining,19,4.5,,,,,,,,,,,,,,,,,,
Highest Monthly Average Rating,#NAME?,#NAME?,Highest Monthly Average Rating,#NAME?,,,,,,,,,,,The Usual Suspects,20,3.5,,,,,,,,,,,,,,,,,,
Most Films Watched in a Month,50,July '24,Most Films Watched in a Month,42,,,,,,,,,,,The Nice Guys,21,5,,,,,,,,,,,,,,,,,,
Highest Yearly Average Rating,33.63,2025,Average Overall Rating for 2019,4.00,,,,,,,,,,,Wind River,21,4.5,,,,,,,,,,,,,,,,,,
Highest Movies Per Month,16.67,2019,Average Movies Per Month,16.67,,,,,,,,,,,Hereditary,22,5,,,,,,,,,,,,,,,,,,
Average Movies/Month,25.08,,Total Unique Films Watched in 2019,190,,,,,,,,,,,Toy Story,22,5,,,,,,,,,,,,,,,,,,
Average Movies/Year,129.00,,Total Films Watched in 2019,200,,,,,,,,,,,The Dark Knight,23,5,,,,,,,,,,,,,,,,,,
Percentage of Films Rewatched,27%,,5 Star Ratings This Year,30,,,,,,,,,,,Star Wars,24,5,,,,,,,,,,,,,,,,,,
Average Yearly Rating,4.70,,Movies Released This Year,22,,,,,,,,,,,Looper,24,3.5,,,,,,,,,,,,,,,,,,
Total Unique Films Watched,793,,Must Watches Completed from This Year,51.3%,,,,,,,,,,,Kill Bill Vol. 2,25,4,,,,,,,,,,,,,,,,,,
Total Films Watched,903,,Movies rewatched for the first time on LB,33,,,,,,,,,,,Spider-Man: Into the Spider-Verse,26,5,,,,,,,,,,,,,,,,,,
