order_id,title,rating
37,Eternal Sunshine of the Spotless Mind,56
775,A Shot In The Dark,55
766,Jarhead,55
606,Renfield,55
599,Transformers: Rise of the Beasts,55
584,Overlord,55
412,Reminiscence,55
383,Fear Street: 1978,55
332,Captain America: The First Avenger,55
309,Young Frankenstein,55
200,Bad Boys,55
17,Eighth Grade,55
769,The Fast and The Furious: Tokyo Drift,54
661,Black Panther: Wakanda Forever,54
603,Indiana Jones and the Dial of Destiny,54
580,Batman (1989),54
429,Last Night in Soho,54
351,Ant-Man and the Wasp,54
343,Basic Instinct,54
327,Hard Eight,54
774,The Devil Wears Prada,53
770,Fast & Furious,53
748,Over The Hedge,53
743,Sing 2,53
725,Spaceballs,53
706,Flushed Away,53
679,Puttin' on the Dog,53
663,The Marvels,53
576,Batman v. Superman: Dawn of Justice,53
569,John Wick: Chapter 4,53
554,Big Trouble in Little China,53
550,White Noise,53
549,Rush,53
500,Kingsman: The Golden Circle,53
447,No Sudden Move,53
381,Black Widow,53
372,The Italian Job (1969),53
354,Justice League: War,53
303,Pirates of the Caribbean: Dead Man's Chest,53
224,What Did Jack Do?,53
172,Star Wars: The Last Jedi,53
23,Solo: A Star Wars Story,53
632,The Great Train Robbery,52
507,The Adam Project,52
456,The Lost Daughter,52
428,Eternals,52
141,Captain Marvel,52
2,Moana,52
689,The Haunted House,51
449,Candyman (2019),51
413,Princess Mononoke,51
157,Blind Shaft,51
150,Sin Nombre,51
94,State of Play,51
610,The Blackening,50
521,Thor: Love and Thunder,50
359,The Comeback Trail,50
186,Star Wars: The Rise of Skywalker,50
75,"Synecdoche, New York",50
279,Blue Streak,49
256,Inside Man,49
76,Shark Tale,49
749,Team America: World Police,48
755,The Cheap Detective,47
681,The Framed Cat,47
647,Bodies Bodies Bodies,47
575,Man of Steel,47
516,I Now Pronounce You Chuck & Larry,47
452,Malcolm & Marie,47
54,Jackie,47
40,Transformers: Revenge of the Fallen,47
16,Velvet Buzzsaw,47
763,Prometheus,46
722,Speak No Evil (2022),46
714,Notorious (1946),46
581,The Flash,46
376,Grown Ups,46
333,Thor: The Dark World,46
312,Donnie Darko,46
246,Pokemon: Detective Pikachu,46
555,Dr. No,45
489,The House That Jack Built,45
331,Thor,45
723,Batman Returns,44
708,You Only Live Twice,44
685,Ice Age 2: The Meltdown,44
662,Ant-Man and the Wasp: Quantumania,44
587,Aquaman,44
398,Beckett,44
325,High Anxiety,44
236,Good Boys,44
230,Spectre,44
178,Star Wars: Attack of the Clones,44
776,Terrifier 3,43
670,Beverly Hills Cop: Axel F,43
588,Shazam!,43
508,Four Brothers,43
390,Pineapple Express,43
730,Treasure Planet,42
589,The Burial,42
196,Old School,42
28,Shaft,42
552,Dr. Jekyll and Mr. Hyde (1941),41
537,Amsterdam,41
484,Operation Finale,41
448,Candyman,41
78,Now You See Me,41
562,Terrifier 2,40
529,Minions: The Rise of Gru,40
520,Spiderhead,40
457,Avatar,40
206,Bad Boys II,39
651,X-Men: The Last Stand,38
409,Spider-Man 3,37
234,Speed Racer,37
528,Fury,36
213,Quantum of Solace,36
414,Venom,35
411,The Amazing Spider-Man 2,35
717,Sky Captain and the World of Tomorrow,34
710,Ghostbusters: Frozen Empire,34
644,Scoob!,34
602,Cocaine Bear,34
544,Molly's Game,34
204,Get Hard,34
82,Going in Style,34
523,The Gray Man,33
400,Gangster Squad,33
