2019,Movies in a month,Monthly Averages,Rewatches for the first time on LB,Multiple Rewatches,2019 Films,Must Watches Completed,2020,Movies in a month,Monthly Averages,Rewatches for the first time on LB,First time rewatches,Multiple Rewatches,2020 Films,Must Watches Completed,2021,Movies in a month,Monthly Averages,Rewatches for the first time on LB,First time rewatches,Multiple Rewatches,2021 Films,Must Watches Completed,2022,Movies in a month,Monthly Averages,Rewatches for the first time on LB,First time rewatches,Multiple Rewatches,2022 Films,Must Watches Completed,2023,Movies in a month,Monthly Averages,Rewatches for the first time on LB,First time rewatches,Multiple Rewatches,2023 Films,Must Watches Completed,2024,Movies in a month,Monthly Averages,Rewatches for the first time on LB,First time rewatches,Multiple Rewatches,2024 Films,Must Watches Completed,2025,Movies in a month,Monthly Averages,Rewatches for the first time on LB,First time rewatches,Multiple Rewatches,2025 Films,Must Watches Completed
November '19,17,3.85,Civil War,,The Laundromat,The Thing,November '20,6,3.58,The Empire Strikes Back,,Blade Runner 2049,,John Wick: Chapter 3 - Parabellum,November '21,21,3.38,22 Jump Street,,Rush Hour,Fear Street: 1666,The Trial of the Chicago 7,November '22,5,3.40,,,21 Jump Street,The Gray Man,Leon: The Professional,November '23,4,4.50,,,,The Super Mario Bros. Movie,Predestination,November '24,2,4.50,The Goonies,,Aliens,,The French Connection,November '25,0,,,,,,
December '19,21,4.10,Thor: Ragnarok,,Dolemite is My Name,The Wolf of Wall Street,December '20,10,3.50,Kiss Kiss Bang Bang,,The Dark Knight Rises,,Shine,December '21,23,3.39,Spider-Man,,BlacKkKlansman,"Batman: The Long Halloween, Part 1",Andhadhun,December '22,14,3.79,,,Transformers,Bullet Train,Eyes Wide Shut,December '23,47,3.72,,,,The Killer,The King of Comedy,December '24,7,3.14,Ice Age,,Batman Begins,,Carol,December '25,0,,,,,,
Months viewed,12,,The Big Short,,Midsommar,The Shining,Months viewed,12,,The Chamber of Secrets,,Sicario,,Rear Window,Months viewed,12,,Spider-Man 2,,Batman Begins,Beckett,I Care A Lot,Months viewed,11,,,,,Smile,Brick,Months viewed,12,,,,,Bye Bye Barry,Wildlife,Months viewed,12,,Shrek 2,,The Dark Knight,,If Beale Street Could Talk,Months viewed,3,,,,,,
Average Movies/Month,16.67,,Inglourious Basterds,,The Irishman,Spider-Man: Into the Spider-Verse,Average Movies/Month,14.83,,The Prisoner of Azkaban,,Godfather,,Burning,Average Movies/Month,11.50,,Spider-Man 3,,The Dark Knight,"Batman: The Long Halloween, Part 2",Road to Perdition,Average Movies/Month,9.18,,,,,Minions: The Rise of Gru,Lost in Translation ,Average Movies/Month,8.50,,,,,Asteroid City,Overlord,Average Movies/Month,13.67,,Mice Follies,,The Dark Knight Rises,,Butch Cassidy and the Sundance Kid,Average Movies/Month,6.67,,,,,,
Yearly Average Overall,,4.00,Pulp Fiction,,The Lighthouse,Alien,Yearly Average Overall,,3.87,Napoleon Dynamite,,The Prestige,,The Town,Yearly Average Overall,,3.57,The Amazing Spider-Man,,Snatch,The Green Knight,The Karate Kid (1984),Yearly Average Overall,,3.82,,,,The Northman,Portrait of a Lady on Fire,Yearly Average Overall,,3.68,,,,Killers of the Flower Moon,Midnight in Paris,Yearly Average Overall,,3.68,Blue Cat Blues,,Top Gun: Maverick,,The Iron Giant,Yearly Average Overall,,33.63,,,,,
Highest Monthly Average,#NAME?,#NAME?,Shark Tale,,Parasite,Inherent Vice,Highest Monthly Average,#NAME?,#NAME?,The Goblet of Fire,,Hereditary,,mother!,Highest Monthly Average,#NAME?,#NAME?,The Amazing Spider-Man 2,,The Dark Knight Rises,Shang-Chi and the Legend of the Ten Rings,Black Widow,Highest Monthly Average,#NAME?,#NAME?,,,,Amsterdam,Da 5 Bloods,Highest Monthly Average,#NAME?,#NAME?,,,,Godzilla Minus One,Lady Bird,Highest Monthly Average,#NAME?,#NAME?,Puttin' on the Dog,,Harry Potter and the Philosopher's Stone,,Point Break,Highest Monthly Average,#NAME?,#NAME?,,,,,
Most Movies Watched in A Month,June '19,42,Edge of Tomorrow,,Ad Astra,Annihilation,Most Movies Watched in A Month,June '20,41,The Order of the Phoenix,,Enemy,,Argo,Most Movies Watched in A Month,December '21,23,Burn After Reading,,The Game,Reminiscence,Luca,Most Movies Watched in A Month,January '22,31,,,,Babylon,Sound of Metal,Most Movies Watched in A Month,December '23,47,,,,Transformers: RIse of the Beasts,The Super Mario Bros. Movie,Most Movies Watched in A Month,July '24,50,Mouse Trouble,,Harry Potter and the Chamber of Secrets,,Akira,Most Movies Watched in A Month,January '25,13,,,,,
Sum of all ratings,799.5,,Interstellar,,Ford v. Ferrari,The Third Man,Sum of all ratings,689,,The Half-Blood Prince,,Prisoners,,The Day After Tomorrow,Sum of all ratings,492.5,,,,Spider-Man: Homecoming,Titane,Speed,Sum of all ratings,386,,,,,The Unbearable Weight of Massive Talent,Us,Sum of all ratings,375.5,,,,,Bottoms,The Kiler,Sum of all ratings,604,,The Framed Cat,,Harry Potter and the Prisoner of Azkaban,,Rosemary's Baby,Sum of all ratings,672.5,,,,,,
,,,Nightcrawler,,Uncut Gems,Seven Samurai,,,,Transformers: Dark of the Moon,,Nocturnal Animals,,Heat,,,,,,Spider-Man: Far From Home,Dune,Another Round,,,,,,,Wendell & Wild,The House That Jack Built,,,,,,,Eileen,Asteroid City,,,,The Million Dollar Cat,,Harry Potter and the Goblet of Fire,,The Mist,,,,,,,,
Key:,,,The Nice Guys,,Star Wars: The Rise of Skywalker,Strangers on a Train,,,,Transformers: Age of Extinction,,Iron Man,,The Fellowship of the Ring,,,,,,,The Harder They Fall,Double Indemnity,,,,,,,Emily the Criminal,28 Days Later,,,,,,,Cocaine Bear,Killers of the Flower Moon,,,,Tom and Cherie,,Transformers,,Barry Lyndon,,,,,,,,
You had seen this movie before but never made an entry on LB,,,Toy Story,,Marriage Story,Incendies,,,,The Deathly Hallows Part 1,,Iron Man 2,,The Two Towers,,,,,,,The Guilty,Upgrade,,,,,,,Cha Cha Real Smooth,The Fighter,,,,,,,Indiana Jones and the Dial of Destiny,Transformers: RIse of the Beasts,,,,The Yankee Doodle Mouse,,,,True Romance,,,,,,,,
You had seen this movie before but in a previous year on LB,,,Star Wars,,,12 Angry Men,,,,The Deathly Hallows Part 2,,Avengers,,The Return of the King,,,,,,,The Suicide Squad,Rope,,,,,,,"""Sr.""",Primer,,,,,,,Leave The World Behind,Cocaine Bear,,,,Ice Age 2: The Meltdown,,,,Magnolia,,,,,,,,
The first time you recorded the film in LB was the same year. (Eg: The Nice Guys 2020),,,Inception,,,The Favourite,,,,Blue Streak,,The Winter Soldier,,Infernal Affairs,,,,,,,Eternals,The Maltese Falcon,,,,,,,,Fantastic Mr. Fox,,,,,,,The Boy and the Heron,Indiana Jones and the Dial of Destiny,,,,Goodfellas,,,,High and Low,,,,,,,,
Limited Series,,,MI:Ghost Protocol,,,Boogie Nights,,,,Tintin,,Age of Ultron,,Dawn of the Planet of the Apes,,,,,,,Last Night in Soho,Gangster Squad,,,,,,,,"Everything, Everywhere, All At Once",,,,,,,Renfield,Leave The World Behind,,,,Deadpool,,,,The Raid,,,,,,,,
"Film was released the year of entry, USA premiere",,,Rush Hour,,,Taxi Driver,,,,World War Z,,Civil War,,War for the Planet of the Apes,,,,,,,"tick, tick...BOOM!",The Manchurian Candidate,,,,,,,,The Treasure of the Sierra Madre,,,,,,,Saltburn,The Boy and the Heron,,,,Deadpool 2,,,,8 1/2,,,,,,,,
"Film was listed on the ""must watch"" list for year of entry: DO NOT ADD MORE ENTRIES TO THE LIST AFTER THE YR STARTS",,,Superbad,,,Nocturnal Animals,,,,Transformers: The Last Knight,,,,The Fugitive,,,,,,2021 Films,The Card Counter,The Green Knight,,,,,,,,Doctor Strange in the Multiverse of Madness,,,,,,,Maestro,Renfield,,,,Flushed Away,,,,"Crouching Tiger, Hidden Dragon",,,,,,,,
Film was a century mark,,,The Force Awakens,,,Moonlight,,,,Tropic Thunder,,,,Escape from New York,,,,,,Nightmare Alley,Venom: Let There Be Carnage,The Birds,,,,,,,,Possessor,,,,,,,Fast X,Maestro,,,,Tee for Two,,,,Paths of Glory,,,,,,,,
"5 star films: Only count films you haven't seen before, grey films, and films that on rewatch have been increased to 5 stars",,,The Last Jedi,,,You Were Never Really Here,,,,Iron Man 3,,,,A Fistful of Dollars,,,,,,No Time to Die,The Last Duel,Shang-Chi and the Legend of the Ten Rings,,,,,,,,Thor: Love and Thunder,,,,,,,The Blackening,Wonka,,,,The Missing Mouse,,,,The Last Samurai,,,,,,,,
